|Description|CompanyName|Count|Type|Complexity
0|" We envision a simple portal which shall provide real time data on how an epidemic is and can spread. Real time status and alerts will be the primary objective of this project. 

To achieve this objective, we will need to build layers of crowd sourced data that will add up to provide rich real time status of an epidemic spread as it happens."|Thermo Fisher|3.0|Healthcare & Biomedical Devices|Complex
1| How can a farmer gain access to all the elements of his farming cycle?one stop shop where he has access to information from different aggregators, for retailing , leasing & finally taking his produce to the nearest mandi. Application to provide a means of easy transaction for all his farming activities and his personal expenses. Agri credit should help him buy/lease Farm Machinery & have access to all the local vendors for his plantation needs including expert advice from the local university|Mahindra&Mahindra(FarmEq)|6.0|Software - Mobile App development|Complex
2| A Smart city will have various elements like power, water, etc monitored through a central control room. The Control Center will be the single source of information for administrators and decision makers. The new set of challenges faced by a Smart Grid, e-Charging network and e-Vehicle users culminate in the Smart City Control room as an indicator of traffic movement/congestion, power demand and various other related parameters. The solution need to be integrated into the Smart city control room|ABB GIS Pvt Ltd|1.0|Smart Cities|Complex
3| Over the time, cities have built the power distribution asset in phases with varied product technologies. At the time of faults in the physical infrastructure, the distribution utilities take huge time to identify and pin point the fault in the physical infrastructure (especially the cable faults, which is mix of overhead and underground infra). Also, faults in networks are catered to only after they occur. A low cost prediction solution will help in better planning for ad-hoc maintenance.|ABB GIS Pvt Ltd|2.0|Energy / Renewable Energy|Complex
4|" •	Search engine for YARA signature pattern selection.
•	Automatically generating YARA rules/signatures that cover a specific set of files.
•	Short scanning time for YARA signatures on large amount of data (clean set) for identifying the best signature candidate.
•	The generated YARA rules should be generic i.e. single signature should cover multiple malware samples."|Quick Heal|0.0|Security & Surveillance|Complex
5|" Ambulance services are important for Health & Medical facilities. Requirement is to build a mobile app similar to Ola / Uber cab services. But it will be for Ambulance services. This app will have Ambulance driver’s register their availability and location. Both Executive at Emergency Helpline  and User’s on the other hand on App’s Client interface will book an ambulance. 
This will promise a fast and reliable ambulance service in case of emergency."|CDK Global (India)Pvt Ltd|36.0|Healthcare & Biomedical Devices|Complex
6| Every day we come across several sources of pollution, polluting the very basics of our lives- Rivers, Land, Air and Noise. We know nothing about who/where to report it and how. We suggest an Innovative way to identify the sources of pollution in your area, get it prioritized through people votes, escalate it to the concerned authorities, keep a track of the progress and get notified of the actions taken. It will provide an End-2-End tool to battle pollution democratically partnering with Govt.|CDK Global (India)Pvt Ltd|22.0|Sustainable Environment|Complex
7|" The objective of patient case similarity is to identify similar patients based on their medical reports. Identification of similar patient cases be useful for improving patient outcome, for treatment or drug recommendation to a new patient, prediction of clinical outcome, clinical decision support, research on those cases.

Task: Applying machine learning algorithms to find similar patient cases from given dataset. You can refer youtube link and documentations attached to it for more details."|ezDI|16.0|Healthcare & Biomedical Devices|Complex
8|" TITLE: ""Drone Doctors: Deep Learning of plant topography for predictive / prescriptive analysis against pest and diseases"".

BACKGROUND: Crop losses owing to pest & diseases are inherent in Indian agriculture with the annual loss of 15-25% of productivity. Pest & diseases are complex, crop/region specific, seasonal, epidemic/endemic, which require integrated approaches to manage the loss. Due to the level of complexity, diagnosis for preventive measures are challenging, particularly our inability to (fore)see the pest/disease occurrence and their life cycle, while the level of difficulty raises with the size of land holdings. Due to the poor visibility of pest and disease occurrences, our ability to integrate and use the data for preventive/prescriptive measures has been the challenge leading to continuous productivity loss.

PROBLEM DESCRIPTION: Crop loss is generally diagnosed by the symptoms developed by pest and diseases, while manual diagnosis has a very limited scope in identifying the damaged plant parts, while recognizing the pattern of pest/disease distribution almost close to impossible in large area. Drone based scanning the large area using both visible and near-infrared light, could help track changes in plants at large scale and identify the distribution pattern very precisely. Further, an artificial intelligence (AI) driven software could process the images; integrate the existing knowledge and develop the solutions in real-time. In addition, such approach could also open the scope of predictive analysis to execute automate alert to the farmers, potentially improve the crop productivity to more than 20%.

PROBLEM STATEMENT: To build a custom drone and integrated software with AI for predictive/prescriptive model against pest and diseases in crop plants.

The proposed requirements are as follows,
A: HARDWARE
1. Drone integrated with IR lenses
2. Communication device for data transmission to cloud

B. SOFTWARE
1. “Intelligent” Software that process the digital images; extract the binaries; categorize them to diagonise the biotic stress; integrate with existing knowledge; execute the predictive / prescriptive analysis and generate alerts for communication.
2. Cloud environment with management dashboard

PROJECT DELIVERABLES:
1. An aerial survey and data collection system, fully functional with visible and IR lenses. 
2. Managed communication of the images/data to the cloud.
3. AI driven Software – fully functional for predictive and prescriptive analytics
4. Alert system for users (including farmers) in various formats including RSS feeds (for news channels) and mobile applications.

-----------------------------"|ITC Limited|2.0|Robotics & Drones|Complex
9| In case of excess supply, wrong/damaged deliveries to end customers, SKF customer service team returns the product back to regional warehouse irrespective of condition of material. Hence, sometimes we (India Distribution Centre) end up receiving damaged stocks even after an ok Proof of Delivery which results in blocked stocks and we end up scrapping them leading to loss. A solution can be developed that a proper justification for return is mentioned and right decision on return of goods is taken|SKF India Ltd.|2.0|Software - Web App development|Complex
10| A mobile application that the farmers can use to hire tractors as well as other mechanizations at a nominal amount all using their mobile phones . This would not only help them avoid manual labor but can be also be considered as an important step to encourage this profession.|MindTree|21.0|Agriculture and Rural Development|Complex
11|" One of our Client processes approximately 1500 invoices per day received from 250 surveyors in 15 different formats. All those are of pre-defined format containing no hand written text. Each document spans across approximately 3 pages. it can be,
•	mobile captured images 
•	Scanned PDFs.
Data retrieved from the invoices (including item name, etc.)are updated into CRM application. However, it refers to items with names which is different from the one specified in invoice. (For E.g., Invoice Item Name: Front Wheel, CRM Item Name: F.Wheel). Design and propose an automation solution, which will automate the above business process, considering that all the invoices are made available in a pre-defined File Server."|KG Info Systems Pvt Ltd|1.0|Miscellaneous|Complex
12| A client needs to automate a back office process which has a volume of 25000 receipts per month. The information is structured, with pre-determined rules and conditions. The process has 10% of exceptions and also involves the use of paper. The source file is downloaded from SAP application, from which data is retrieved. Based on transaction type, client details are segregated as either Card or Cheque. Segregated user information is fed to the web application. For each Receipt number, templates are used to generate receipts and the same is mailed to the vendor specified in the source file. Each transaction type has its own template, which is available in the File Server. Design an automation solution which will automate the above process and email the receipts to corresponding vendor.|KG Info Systems Pvt Ltd|1.0|Miscellaneous|Complex
13| Our farmers are well too behind in using technologies and advanced methodologies to grow the crops. Every year we see that the farmers are committing suicide due to the bad crop (various reasons), or bad rates for the crops and loan sharks. What if there is a platform for the farmers, which is easy to understand and use, to enable them to utilize the power of technology in their farming?|MindTree|15.0|Agriculture and Rural Development|Complex
14| We want to automate through mobile app our valuation reports containing photographs with digital signature eliminating hard copies. Our system is semi automatic and currently we are providing PDF links. Right from the site to the final point we wish to completely automate inspection process. The reports was containing algorithms to cost to the bidder. a  link  of  the  same  is  given  here http://aichappraisers.com/valuationreports/SEP 2018/WB/5001786612.pdf|AICHAPPRAISERS AUCTIONERS|1.0|Software - Mobile App development|Complex
15|" Detect high probability of large scale natural disasters and eventually model the post disaster spread dynamics.
One approach could be to use technology to process the satellite data to predict the likelihood of the disaster which then can be used as a warning tool for monitoring and detecting the disaster.
Also, with the satellite and human generated data, system should model the dynamics of the disaster spread, which will help to manage the disaster efficiently."|MindTree|7.0|Miscellaneous|Complex
16| A lot of deaths happening are because of road accidents. So to prevent these accidents, a driver alertness detection system must be made.|MindTree|16.0|Smart Vehicles|Complex
17| During medical emergencies, common people always face problems in deciding which hospital they should visit for required treatment. The wander from one hospital to another in search of medical facility, medicines, blood supply, etc. Hospital Finder will solve this problem by allowing people to search for nearby hospitals on the basis of medical treatment, specialist doctors, medicine/blood availability, etc.|CDK Global (India)Pvt Ltd|36.0|Software - Mobile App development|Complex
18| We have very erratic driving patterns on the road and it causes lot of fuel wastage and is a major cause of accidents. A low cost system(under 15$) which can integrate with any car and provide a summary of driving habits of each car owner/driver will help us track usage, plan routes and monitor the health of the vehicle real-time. We can then suggest users to modify their driving habits to control spending on fuel, breakdown alerts and to practice proper road etiquette.|Mahindra&Mahindra(FarmEQ)|0.0|Smart Vehicles|Complex
19|" Food Security is paramount importance to the growing food needs of an ever increasing population. Not having sufficient domestic production of food to meet requirement of 1.25 billion plus and still expanding will put huge burden on Indian economy.
India is a large agricultural hub around the globe and majority of the total population is dependent on the agricultural sector for meeting their demand. Agriculture is the major end-user sector for fertilizers and the demand for fertilizer is growing significantly.
Due to unpredictable monsoon and ever decreasing ground water and un predictable market condition and unregulated market for crop yields putting huge pressure on farmers.
A solution to be developed taking into account following factors
1.	Monsoon Prediction
2.	Climate conditions
3.	Soil condition
4.	pests and disease Predictions and use of insecticides 
5.	Demand for crop
6.	Availability of fertilizers and insecticides 
7.	Irrigated and non-irrigated
Based on available data from multiple sources and market condition, a solution in the form of interactive application is expected from the cream of the society to guide farmers in deciding when and which crop to grow in their fields based on geographical location of their field and market demand / trends using artificial intelligence (AI).
In addition to the above the application should propose the type of fertilizers to be used with doses of fertilizers with timeline/Schedule. The information should be provided in national & local languages."|RCF|6.0|Agriculture and Rural Development|Complex
20| This requires advance BMS development for locking and unlocking the Lithium ion battery BMS on basis of monthly payment by customer. The battery operating vital parameters to be stored in cloud for later retrieval during maintenance. Participant to develop logic and the embedded system for   battery capacity from 1 to 3 KWhr purchase on lease instead of one time investment in lithium battery. This will promote E-mobility solutions over conventional fuel scooters.|Hero Electric Vehicles|1.0|Smart Vehicles|Complex
21| BLDC motor know for high power density design and high efficiency. As the speed of the vehicle increases the motor becomes inefficient due to increase in losses.  Scooter motor is in range of 500 to 3000W for 25 to 60 kmph speed application. Participant to derive at most efficient combination of motor sizes, hub motor versus transmission driven off hub motors for improved torque-speed characteristics, arrive at controller design for cater low and high vehicle speeds. This involves motor design s|Hero Electric Vehicles|0.0|Smart Vehicles|Complex
22| On day to basis people access various websites like net banking, trading, social websites, Govt websites etc.. and each site has unique login id & password. This has become unmanageable, it is not possible to remember login id & password of each site and it is not safe to write it down. We need a solution like universal authentication system (e.g. Aadhar) which is secure and manageable.  The challenge with the centralized system like Aadhar are regulation, dependency and cost. Hence the system should be decentralized, secure and cost effective. It can make use of technologies like bio-metrics,  face recognition, OTP etc..|KG Info Systems Pvt Ltd|0.0|Software - Web App development|Complex
23| A chat bot which can interpret the customer complaints or queries, search the DB for resolution and in case new solution found, hand it over to support staff. Based on the conversation b/w customer and staff, update the DB, be prepared to handle similar queries in future.|KG Info Systems Pvt Ltd|3.0|Software - Web App development|Complex
24|" Description: Eliminate manual intervention in ticket creation
1. Raise a ticket based on the complaint mail 
2. If the details are incomplete (e.g. customer id is missing), send a mail to customer asking for missing details.  
3. Link the sub sequent responses from the customer to the original ticket
4. Recognize the bounced mails and initiate appropriate action
5. Auto response to template based mails (complaints/queries) ie no free text 
6. Multiple bots / parallel processing"|KG Info Systems Pvt Ltd|2.0|Miscellaneous|Complex
