|Description|CompanyName|Count|Type|Complexity
0| We have a self service wellness KIOSK that measures health vital parameters like BMI, BMC, BP, ECG, Pulse, Temp. And it designed to be non-assisted while user measures the vitals. A right body posture yields a correct result. We wanted the system should capture the image of the uses body posture like hand, leg etc via camera and through image processing; Compare the required postures for particular test, Analyse and guide users to have right posture in case the test is not carried out proper|India Health Link Pvt Ltd|6.0|Healthcare & Biomedical Devices|Complicated
1| Build an API for IHL users (from IHL platform) to choose/select their friends/others from facebook, LinkedIN, whatsapp, others to form a group to play a challenge like average no of steps in a month, healthy food habits, health vitals (decrease in weight/BP etc.Gamify user experience to win rewards, badges etc.|India Health Link Pvt Ltd|3.0|Software - Web App development|Complicated
2| Design a system by which we can record and make visible/non-falsifiable/non-repudiable the different transactions between a common citizen and a govt. department for getting and managing a particular form of license/permit. For a specific example, we consider the driving permit. The system should be able to track the different transactions starting from getting the permit (retail/commercial), renewal, recording of traffic rule violations, and possibly, revocation/suspension|Hughes Systique Pvt Ltd|0.0|Security & Surveillance|Complicated
3| Text in clinical documents is annotated to tag the words or phrases as problems, diagnoses, procedures, drugs etc and identify the relationship between them. Semantically similar words can be annotated differently by different annotators due to ambiguity in understanding the guidelines, incomplete experience or human errors. Identifying inconsistencies can help in improving the data quality You need to develop a tool to display these similar entities which have different patterns of annotations.|ezDI|0.0|Healthcare & Biomedical Devices|Complicated
4|" Description - process variations within supplier factory create dimensional variability in the produced parts as well as creates outliers. Standard SPC charts are unable to catch specially the outliers. Efforts to weed out these variations / outliers are manual, costly & time consuming + they are not foolproof. This affects manufacturing cycle time variations on SKF Channels thereby limiting the productive output. A solution can be developed to identify key variables in the supplier factory & monitor them on real time basis. All cases of dimensional variations will be separated online

Explanation - this automated solution is expected to give real time signals to correct the variations in order to center the process outcomes & improve process capability at suppliers. Eventually this should help SKF to reduce the cycle time on channel to increase the output further."|SKF India Ltd.|0.0|Miscellaneous|Complicated
5| Component suppliers plan raw material procurement and their internal manufacturing processes as per the 'forecast' from SKF. Any delay due to manufacturing / dispatch of raw material due to machine breakdown, workmen absenteeism, over booking by customers wrt capacity etc, can delay deliveries to customers in turn affecting final customers. A system to be developed to know real time status of all vital activities/ actions to customer & advance warning alarm should go off in case of any delays|SKF India Ltd.|0.0|Software - Web App development|Complicated
6|" Develop a network intrusion detection system with high network throughput.

The system should scan, classify and monitor the network traffic in realtime without affecting the network throughput.

Following are the features
- Real time traffic analysis
- Protocol analysis
- Content searching
- Detect variety of attacks and probes"|Quick Heal|0.0|Security & Surveillance|Complicated
7|" Frequently the medicines remain unused with people. In those cases medicines do get wasted. 
The proposal brings in usage of technology to make the medicines reusable in seamless and hassle free manner."|MindTree|5.0|Healthcare & Biomedical Devices|Complicated
8|" Adopting a collaborative approach to sharing the threat intelligence has its own benefits. The volume of threat incidences along with sophistication of techniques used demands implementation of effective protective system. You always see only view through one angle and no one has the full picture.
Ability to find needle in a haystack gives the notion of today's threat landscape.
The system should build capability of collective threat intelligence to prioritize, focus and detect threats."|Quick Heal|0.0|Security & Surveillance|Complicated
9|" TITLE: Time Series Machine Learning based Prediction Model to achieve consistent Product Moisture in manufacturing

BACKGROUND: Achieving consistency in product quality is one of the key objectives in a manufacturing process. The product quality in a process is affected by both, process and environmental parameters. In case of a hygroscopic organic product, moisture plays a vital role in determining the end product quality. In the case of this problem it is crucial to maintain the end product moisture level within a narrow band for superior product quality. To achieve the same, online control of various process parameters is required in manufacturing.

PROBLEM DESCRIPTION: The manufacturing process of this product has a drying step which is controlled to get the end product moisture within limits. However, post drying, the retention time and conditions in further process steps impact the final product moisture. The incoming material loses moisture in the drying process. The dryer process parameters are controlled through a PID loop with short and long term levers. Post drying, the product is stored in a conditioned environment and is transferred for manufacture as per requirement. Product interacts with the surrounding environment while residing in the storage area and the manufacturing process. Due to these interactions, the product moisture changes from the desired value of 13.5+/-0.3%. Building a time series machine learning model to predict Ex- Dryer moisture set point will help to achieve Ex-Packing moisture within 13.5+/-0.3% with maximum accuracy.

PROBLEM STATEMENT: To build a Time series Neural Network (LSTM/GRU) model to predict Dryer set point in order to achieve Ex-packer moisture within 13.5+/-0.3


PROJECT DELIVERABLES:
1. To develop a time series machine learning model to predict Dryer moisture set point in order to achieve Ex-packer moisture within 13.5+/-0.3 %
a. To counter the variation of the ambient & storage conditions, the target variable (Ex-Dryer Moisture) is changed to bring the final product moisture (var13) in the spec range of 13.5+/-0.3%.
2. Desired Accuracy Level (For Training and Model Learning): 
96% accuracy has been achieved. Further improvement is desired to achieve accuracy of 98+% levels
3. Desired Accuracy Level (For Testing):
The built model should be tested on data points which have Ex-packer moisture (var13) within 13.5+/-0.3 %, predicting the target dryer set point value as close to actual set point value with an accuracy of 99%+.

------------------------------"|ITC Limited|0.0|Miscellaneous|Complicated
